Entry,Gene Names,Protein names,protein_symbol
P62736,ACTA2 ACTSA ACTVS GIG46,"Actin, aortic smooth muscle",ACTA2
P62745,RHOB ARH6 ARHB,Rho-related GTP-binding protein RhoB,RHOB
P62750,RPL23A,Large ribosomal subunit protein uL23,RPL23A
P62753,RPS6 OK/SW-cl.2,Small ribosomal subunit protein eS6,RPS6
P62760,VSNL1 VISL1,Visinin-like protein 1,VSNL1
P62805,H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4C16 H4-16 HIST4H4,Histone H4,H4C1
P62807,H2BC4 H2BFL HIST1H2BC; H2BC6 H2BFH HIST1H2BE; H2BC7 H2BFG HIST1H2BF; H2BC8 H2BFA HIST1H2BG; H2BC10 H2BFK HIST1H2BI,Histone H2B type 1-C/E/F/G/I,H2BC4
P62820,RAB1A RAB1,Ras-related protein Rab-1A,RAB1A
P62826,RAN ARA24 OK/SW-cl.81,GTP-binding nuclear protein Ran,RAN
P62829,RPL23,Large ribosomal subunit protein uL14,RPL23
P62834,RAP1A KREV1,Ras-related protein Rap-1A,RAP1A
P62837,UBE2D2 PUBC1 UBC4 UBC5B UBCH4 UBCH5B,Ubiquitin-conjugating enzyme E2 D2,UBE2D2
P62841,RPS15 RIG,Small ribosomal subunit protein uS19,RPS15
P62847,RPS24,Small ribosomal subunit protein eS24,RPS24
P62851,RPS25,Small ribosomal subunit protein eS25,RPS25
P62854,RPS26,Small ribosomal subunit protein eS26,RPS26
P62857,RPS28,Small ribosomal subunit protein eS28,RPS28
P62861,FAU,Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein,FAU
P62873,GNB1,Guanine nucleotide-binding protein G,GNB1
P62875,POLR2L,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",POLR2L
P62877,RBX1 RNF75 ROC1,E3 ubiquitin-protein ligase RBX1,RBX1
P62879,GNB2,Guanine nucleotide-binding protein G,GNB2
P62888,RPL30,Large ribosomal subunit protein eL30,RPL30
P62891,RPL39,Large ribosomal subunit protein eL39,RPL39
P62899,RPL31,Large ribosomal subunit protein eL31,RPL31
P62906,RPL10A NEDD6,Large ribosomal subunit protein uL1,RPL10A
P62910,RPL32 PP9932,Large ribosomal subunit protein eL32,RPL32
P62913,RPL11,Large ribosomal subunit protein uL5,RPL11
P62917,RPL8,Large ribosomal subunit protein uL2,RPL8
P62937,PPIA CYPA,Peptidyl-prolyl cis-trans isomerase A,PPIA
P62942,FKBP1A FKBP1 FKBP12,Peptidyl-prolyl cis-trans isomerase FKBP1A,FKBP1A
P62945,RPL41,Small ribosomal subunit protein eS32,RPL41
P62952,BLCAP BC10,Apoptosis inducing factor BLCAP,BLCAP
P62955,CACNG7,Voltage-dependent calcium channel gamma-7 subunit,CACNG7
P62979,RPS27A UBA80 UBCEP1,Ubiquitin-ribosomal protein eS31 fusion protein,RPS27A
P62987,UBA52 UBCEP2,Ubiquitin-ribosomal protein eL40 fusion protein,UBA52
P62993,GRB2 ASH,Growth factor receptor-bound protein 2,GRB2
P62995,TRA2B SFRS10,Transformer-2 protein homolog beta,TRA2B
P63000,RAC1 TC25 MIG5,Ras-related C3 botulinum toxin substrate 1,RAC1
P63010,AP2B1 ADTB2 CLAPB1,AP-2 complex subunit beta,AP2B1
P63027,VAMP2 SYB2,Vesicle-associated membrane protein 2,VAMP2
P63092,GNAS GNAS1 GSP,Guanine nucleotide-binding protein G,GNAS
P63096,GNAI1,Guanine nucleotide-binding protein G,GNAI1
P63098,PPP3R1 CNA2 CNB,Calcineurin subunit B type 1,PPP3R1
P63104,YWHAZ,14-3-3 protein zeta/delta,YWHAZ
P63128,ERVK-9,Endogenous retrovirus group K member 9 Pol protein,ERVK-9
P63146,UBE2B RAD6B UBCH1,Ubiquitin-conjugating enzyme E2 B,UBE2B
P63151,PPP2R2A,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,PPP2R2A
P63162,SNRPN HCERN3 SMN,Small nuclear ribonucleoprotein-associated protein N,SNRPN
P63165,SUMO1 SMT3C SMT3H3 UBL1 OK/SW-cl.43,Small ubiquitin-related modifier 1,SUMO1
P63167,DYNLL1 DLC1 DNCL1 DNCLC1 HDLC1,"Dynein light chain 1, cytoplasmic",DYNLL1
P63172,DYNLT1 TCTEL1 TCTEX-1 TCTEX1,Dynein light chain Tctex-type 1,DYNLT1
P63173,RPL38,Large ribosomal subunit protein eL38,RPL38
P63208,SKP1 EMC19 OCP2 SKP1A TCEB1L,S-phase kinase-associated protein 1,SKP1
P63211,GNGT1,Guanine nucleotide-binding protein G,GNGT1
P63218,GNG5 GNGT5,Guanine nucleotide-binding protein G,GNG5
P63220,RPS21,Small ribosomal subunit protein eS21,RPS21
P63241,EIF5A,Eukaryotic translation initiation factor 5A-1,EIF5A
P63244,RACK1 GNB2L1 HLC7 PIG21,Small ribosomal subunit protein RACK1,RACK1
P63252,KCNJ2 IRK1,Inward rectifier potassium channel 2,KCNJ2
P63261,ACTG1 ACTG,"Actin, cytoplasmic 2",ACTG1
P63267,ACTG2 ACTA3 ACTL3 ACTSG,"Actin, gamma-enteric smooth muscle",ACTG2
P63272,SUPT4H1 SPT4H SUPT4H,Transcription elongation factor SPT4,SUPT4H1
P63279,UBE2I UBC9 UBCE9,SUMO-conjugating enzyme UBC9,UBE2I
P63316,TNNC1 TNNC,"Troponin C, slow skeletal and cardiac muscles",TNNC1
P67775,PPP2CA,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA
P67809,YBX1 NSEP1 YB1,Y-box-binding protein 1,YBX1
P67812,SEC11A SEC11L1 SPC18 SPCS4A,Signal peptidase complex catalytic subunit SEC11A,SEC11A
P67870,CSNK2B CK2N G5A,Casein kinase II subunit beta,CSNK2B
P67936,TPM4,Tropomyosin alpha-4 chain,TPM4
P68032,ACTC1 ACTC,"Actin, alpha cardiac muscle 1",ACTC1
P68036,UBE2L3 UBCE7 UBCH7,Ubiquitin-conjugating enzyme E2 L3,UBE2L3
P68104,EEF1A1 EEF1A EF1A LENG7,Elongation factor 1-alpha 1,EEF1A1
P68106,FKBP1B FKBP12.6 FKBP1L FKBP9 OTK4,Peptidyl-prolyl cis-trans isomerase FKBP1B,FKBP1B
P68133,ACTA1 ACTA,"Actin, alpha skeletal muscle",ACTA1
P68363,TUBA1B,Tubulin alpha-1B chain,TUBA1B
P68366,TUBA4A TUBA1,Tubulin alpha-4A chain,TUBA4A
P68371,TUBB4B TUBB2C,Tubulin beta-4B chain,TUBB4B
P68400,CSNK2A1 CK2A1,Casein kinase II subunit alpha,CSNK2A1
P68402,PAFAH1B2 PAFAHB,Platelet-activating factor acetylhydrolase IB subunit alpha2,PAFAH1B2
P68431,H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J,Histone H3.1,H3C1
P68543,UBXN2A UBXD4,UBX domain-containing protein 2A,UBXN2A
P68871,HBB,Hemoglobin subunit beta,HBB
P69849,NOMO3,BOS complex subunit NOMO3,NOMO3
P69891,HBG1 PRO2979,Hemoglobin subunit gamma-1,HBG1
P69892,HBG2,Hemoglobin subunit gamma-2,HBG2
P69905,HBA1; HBA2,Hemoglobin subunit alpha,HBA1;
P78310,CXADR CAR,Coxsackievirus and adenovirus receptor,CXADR
P78314,SH3BP2 3BP2 RES4-23,SH3 domain-binding protein 2,SH3BP2
P78316,NOP14 C4orf9 NOL14 RES4-25,Nucleolar protein 14,NOP14
P78317,RNF4 SNURF RES4-26,E3 ubiquitin-protein ligase RNF4,RNF4
P78318,IGBP1 IBP1,Immunoglobulin-binding protein 1,IGBP1
P78324,SIRPA BIT MFR MYD1 PTPNS1 SHPS1 SIRP,Tyrosine-protein phosphatase non-receptor type substrate 1,SIRPA
P78325,ADAM8 MS2,Disintegrin and metalloproteinase domain-containing protein 8,ADAM8
P78329,CYP4F2,Cytochrome P450 4F2,CYP4F2
P78330,PSPH,Phosphoserine phosphatase,PSPH
P78332,RBM6 DEF3,RNA-binding protein 6,RBM6
P78333,GPC5,Glypican-5 [Cleaved into: Secreted glypican-5],GPC5
P78334,GABRE,Gamma-aminobutyric acid receptor subunit epsilon,GABRE
P78337,PITX1 BFT PTX1,Pituitary homeobox 1,PITX1
P78344,EIF4G2 DAP5 OK/SW-cl.75,Eukaryotic translation initiation factor 4 gamma 2,EIF4G2
P78345,RPP38,Ribonuclease P protein subunit p38,RPP38
P78346,RPP30 RNASEP2,Ribonuclease P protein subunit p30,RPP30
P78347,GTF2I BAP135 WBSCR6,General transcription factor II-I,GTF2I
P78348,ASIC1 ACCN2 BNAC2,Acid-sensing ion channel 1,ASIC1
P78352,DLG4 PSD95,Disks large homolog 4,DLG4
P78356,PIP4K2B PIP5K2B,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta,PIP4K2B
P78357,CNTNAP1 CASPR NRXN4,Contactin-associated protein 1,CNTNAP1
P78358,CTAG1A CTAG CTAG1 ESO1 LAGE2 LAGE2A; CTAG1B LAGE2B,Cancer/testis antigen 1,CTAG1A
P78362,SRPK2,SRSF protein kinase 2,SRPK2
P78363,ABCA4 ABCR,Retinal-specific phospholipid-transporting ATPase ABCA4,ABCA4
P78364,PHC1 EDR1 PH1,Polyhomeotic-like protein 1,PHC1
P78367,NKX3-2 BAPX1 NKX3B,Homeobox protein Nkx-3.2,NKX3-2
P78368,CSNK1G2 CK1G2,Casein kinase I isoform gamma-2,CSNK1G2
P78369,CLDN10,Claudin-10,CLDN10
P78371,CCT2 99D8.1 CCTB,T-complex protein 1 subunit beta,CCT2
P78380,OLR1 CLEC8A LOX1,Oxidized low-density lipoprotein receptor 1,OLR1
P78381,SLC35A2 UGALT UGT UGTL,UDP-galactose translocator,SLC35A2
P78382,SLC35A1,CMP-sialic acid transporter,SLC35A1
P78383,SLC35B1 UGTREL1,Solute carrier family 35 member B1,SLC35B1
P78385,KRT83 KRTHB3,"Keratin, type II cuticular Hb3",KRT83
P78386,KRT85 KRTHB5,"Keratin, type II cuticular Hb5",KRT85
P78395,PRAME MAPE OIP4,Melanoma antigen preferentially expressed in tumors,PRAME
P78396,CCNA1,Cyclin-A1,CCNA1
P78406,RAE1 MRNP41,mRNA export factor RAE1,RAE1
P78410,BTN3A2 BT3.2 BTF3 BTF4,Butyrophilin subfamily 3 member A2,BTN3A2
P78411,IRX5 IRX2A IRXB2,Iroquois-class homeodomain protein IRX-5,IRX5
P78412,IRX6 IRX7 IRXB3,Iroquois-class homeodomain protein IRX-6,IRX6
P78413,IRX4 IRXA3,Iroquois-class homeodomain protein IRX-4,IRX4
P78415,IRX3 IRXB1,Iroquois-class homeodomain protein IRX-3,IRX3
P78417,GSTO1 GSTTLP28,Glutathione S-transferase omega-1,GSTO1
P78423,CX3CL1 FKN NTT SCYD1 A-152E5.2,Fractalkine,CX3CL1
P78424,POU6F2 RPF1,"POU domain, class 6, transcription factor 2",POU6F2
P78426,NKX6-1 NKX6A,Homeobox protein Nkx-6.1,NKX6-1
P78504,JAG1 JAGL1,Protein jagged-1,JAG1
P78508,KCNJ10,ATP-sensitive inward rectifier potassium channel 10,KCNJ10
P78509,RELN,Reelin,RELN
P78524,DENND2B HTS1 ST5,DENN domain-containing protein 2B,DENND2B
P78527,PRKDC HYRC HYRC1,DNA-dependent protein kinase catalytic subunit,PRKDC
P78536,ADAM17 CSVP TACE,Disintegrin and metalloproteinase domain-containing protein 17,ADAM17
P78537,BLOC1S1 BLOS1 GCN5L1 RT14,Biogenesis of lysosome-related organelles complex 1 subunit 1,BLOC1S1
P78539,SRPX ETX1,Sushi repeat-containing protein SRPX,SRPX
P78540,ARG2,"Arginase-2, mitochondrial",ARG2
P78543,BTG2 PC3,Protein BTG2,BTG2
P78545,ELF3 ERT ESX JEN,ETS-related transcription factor Elf-3,ELF3
P78549,NTHL1 NTH1 OCTS3,Endonuclease III-like protein 1,NTHL1
P78552,IL13RA1 IL13R IL13RA,Interleukin-13 receptor subunit alpha-1,IL13RA1
P78556,CCL20 LARC MIP3A SCYA20,C-C motif chemokine 20,CCL20
P78559,MAP1A MAP1L,Microtubule-associated protein 1A,MAP1A
P78560,CRADD RAIDD,Death domain-containing protein CRADD,CRADD
P78562,PHEX PEX,Phosphate-regulating neutral endopeptidase PHEX,PHEX
P78563,ADARB1 ADAR2 DRADA2 RED1,Double-stranded RNA-specific editase 1,ADARB1
P79483,HLA-DRB3,"HLA class II histocompatibility antigen, DR beta 3 chain",HLA-DRB3
P79522,PRR3 CAT56,Proline-rich protein 3,PRR3
P80075,CCL8 MCP2 SCYA10 SCYA8,C-C motif chemokine 8,CCL8
P80098,CCL7 MCP3 SCYA6 SCYA7,C-C motif chemokine 7,CCL7
P80108,GPLD1 PIGPLD1,Phosphatidylinositol-glycan-specific phospholipase D,GPLD1
P80162,CXCL6 GCP2 SCYB6,C-X-C motif chemokine 6,CXCL6
P80188,LCN2 HNL NGAL,Neutrophil gelatinase-associated lipocalin,LCN2
P80192,MAP3K9 MLK1 PRKE1,Mitogen-activated protein kinase kinase kinase 9,MAP3K9
P80217,IFI35 IFP35,Interferon-induced 35 kDa protein,IFI35
P80294,MT1H,Metallothionein-1H,MT1H
P80297,MT1X,Metallothionein-1X,MT1X
P80303,NUCB2 NEFA,Nucleobindin-2,NUCB2
P80365,HSD11B2 HSD11K SDR9C3,11-beta-hydroxysteroid dehydrogenase type 2,HSD11B2
P80370,DLK1 DLK,Protein delta homolog 1,DLK1
P80404,ABAT GABAT,"4-aminobutyrate aminotransferase, mitochondrial",ABAT
P80511,S100A12,Protein S100-A12,S100A12
P80723,BASP1 NAP22,Brain acid soluble protein 1,BASP1
P80748,IGLV3-21,Immunoglobulin lambda variable 3-21,IGLV3-21
P81172,HAMP HEPC LEAP1 UNQ487/PRO1003,Hepcidin,HAMP
P81274,GPSM2 LGN,G-protein-signaling modulator 2,GPSM2
P81277,PRLH PRH,Prolactin-releasing peptide,PRLH
P81534,DEFB103A BD3 DEFB103 DEFB3; DEFB103B,Beta-defensin 103,DEFB103A
P81605,DCD AIDD DSEP,Dermcidin,DCD
P82094,TMF1 ARA160,TATA element modulatory factor,TMF1
P82251,SLC7A9 BAT1,b,SLC7A9
P82279,CRB1,Protein crumbs homolog 1,CRB1
P82650,MRPS22 C3orf5 RPMS22 GK002,Small ribosomal subunit protein mS22,MRPS22
P82914,MRPS15 RPMS15 DC37,Small ribosomal subunit protein uS15m,MRPS15
P82930,MRPS34,Small ribosomal subunit protein mS34,MRPS34
P82979,SARNP HCC1 HSPC316,SAP domain-containing ribonucleoprotein,SARNP
P82987,ADAMTSL3 KIAA1233,ADAMTS-like protein 3,ADAMTSL3
P83105,HTRA4,Serine protease HTRA4,HTRA4
P83110,HTRA3 PRSP,Serine protease HTRA3,HTRA3
P83111,LACTB MRPL56 UNQ843/PRO1781,"Serine beta-lactamase-like protein LACTB, mitochondrial",LACTB
P83369,LSM11,U7 snRNA-associated Sm-like protein LSm11,LSM11
P83436,COG7 UNQ3082/PRO10013,Conserved oligomeric Golgi complex subunit 7,COG7
P83731,RPL24,Large ribosomal subunit protein eL24,RPL24
P83876,TXNL4A DIM1 TXNL4,Thioredoxin-like protein 4A,TXNL4A
P83881,RPL36A RPL44 GIG15 MIG6,Large ribosomal subunit protein eL42,RPL36A
P83916,CBX1 CBX,Chromobox protein homolog 1,CBX1
P84022,SMAD3 MADH3,Mothers against decapentaplegic homolog 3,SMAD3
P84074,HPCA BDR2,Neuron-specific calcium-binding protein hippocalcin,HPCA
P84077,ARF1,ADP-ribosylation factor 1,ARF1
P84085,ARF5,ADP-ribosylation factor 5,ARF5
P84090,ERH,Enhancer of rudimentary homolog,ERH
P84095,RHOG ARHG,Rho-related GTP-binding protein RhoG,RHOG
P84098,RPL19,Large ribosomal subunit protein eL19,RPL19
P84103,SRSF3 SFRS3 SRP20,Serine/arginine-rich splicing factor 3,SRSF3
P84243,H3-3A H3.3A H3F3 H3F3A PP781; H3-3B H3.3B H3F3B,Histone H3.3,H3-3A
P84550,SKOR1 CORL1 FUSSEL15 LBXCOR1,SKI family transcriptional corepressor 1,SKOR1
P84996,GNAS GNAS1,Protein ALEX,GNAS
P85037,FOXK1 MNF,Forkhead box protein K1,FOXK1
P85298,ARHGAP8,Rho GTPase-activating protein 8,ARHGAP8
P85299,PRR5 PROTOR1 PP610,Proline-rich protein 5,PRR5
P86397,HTD2,"Hydroxyacyl-thioester dehydratase type 2, mitochondrial",HTD2
P86452,ZBED6,Zinc finger BED domain-containing protein 6,ZBED6
P86479,PRR20C,Proline-rich protein 20C,PRR20C
P86480,PRR20D,Proline-rich protein 20D,PRR20D
P98066,TNFAIP6 TSG6,Tumor necrosis factor-inducible gene 6 protein,TNFAIP6
P98073,TMPRSS15 ENTK PRSS7,Enteropeptidase,TMPRSS15
P98077,SHC2 SCK SHCB,SHC-transforming protein 2,SHC2
P98082,DAB2 DOC2,Disabled homolog 2,DAB2
P98088,MUC5AC MUC5,Mucin-5AC,MUC5AC
P98095,FBLN2,Fibulin-2,FBLN2
P98153,DGCR2 IDD KIAA0163,Integral membrane protein DGCR2/IDD,DGCR2
P98155,VLDLR,Very low-density lipoprotein receptor,VLDLR
P98160,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,HSPG2
P98161,PKD1,Polycystin-1,PKD1
P98164,LRP2,Low-density lipoprotein receptor-related protein 2,LRP2
P98168,ZXDA,Zinc finger X-linked protein ZXDA,ZXDA
P98170,XIAP API3 BIRC4 IAP3,E3 ubiquitin-protein ligase XIAP,XIAP
P98171,ARHGAP4 KIAA0131 RGC1 RHOGAP4,Rho GTPase-activating protein 4,ARHGAP4
P98172,EFNB1 EFL3 EPLG2 LERK2,Ephrin-B1,EFNB1
P98174,FGD1 FGDY ZFYVE3,"FYVE, RhoGEF and PH domain-containing protein 1",FGD1
P98175,RBM10 DXS8237E GPATC9 GPATCH9 KIAA0122,RNA-binding protein 10,RBM10
P98177,FOXO4 AFX AFX1 MLLT7,Forkhead box protein O4,FOXO4
P98179,RBM3 RNPL,RNA-binding protein 3,RBM3
P98187,CYP4F8,Cytochrome P450 4F8,CYP4F8
P98194,ATP2C1 KIAA1347 PMR1L HUSSY-28,Calcium-transporting ATPase type 2C member 1,ATP2C1
P98196,ATP11A ATPIH ATPIS KIAA1021,Phospholipid-transporting ATPase IH,ATP11A
P98198,ATP8B2 ATPID KIAA1137,Phospholipid-transporting ATPase ID,ATP8B2
P99999,CYCS CYC,Cytochrome c,CYCS
Q00005,PPP2R2B,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform,PPP2R2B
Q00013,MPP1 DXS552E EMP55,55 kDa erythrocyte membrane protein,MPP1
Q00056,HOXA4 HOX1D,Homeobox protein Hox-A4,HOXA4
Q00059,TFAM TCF6 TCF6L2,"Transcription factor A, mitochondrial",TFAM
Q00169,PITPNA PITPN,Phosphatidylinositol transfer protein alpha isoform,PITPNA
Q00266,MAT1A AMS1 MATA1,S-adenosylmethionine synthase isoform type-1,MAT1A
Q00325,SLC25A3 PHC OK/SW-cl.48,Solute carrier family 25 member 3,SLC25A3
Q00341,HDLBP HBP VGL,Vigilin,HDLBP
Q00403,GTF2B TF2B TFIIB,Transcription initiation factor IIB,GTF2B
Q00444,HOXC5 HOX3D,Homeobox protein Hox-C5,HOXC5
Q00526,CDK3 CDKN3,Cyclin-dependent kinase 3,CDK3
Q00532,CDKL1,Cyclin-dependent kinase-like 1,CDKL1
Q00534,CDK6 CDKN6,Cyclin-dependent kinase 6,CDK6
Q00535,CDK5 CDKN5 PSSALRE,Cyclin-dependent kinase 5,CDK5
Q00536,CDK16 PCTAIRE1 PCTK1,Cyclin-dependent kinase 16,CDK16
Q00537,CDK17 PCTAIRE2 PCTK2,Cyclin-dependent kinase 17,CDK17
Q00577,PURA PUR1,Transcriptional activator protein Pur-alpha,PURA
Q00587,CDC42EP1 BORG5 CEP1 MSE55,Cdc42 effector protein 1,CDC42EP1
Q00597,FANCC FAC FACC,Fanconi anemia group C protein,FANCC
Q00604,NDP EVR2,Norrin,NDP
Q00610,CLTC CLH17 CLTCL2 KIAA0034,Clathrin heavy chain 1,CLTC
Q00613,HSF1 HSTF1,Heat shock factor protein 1,HSF1
Q00653,NFKB2 LYT10,Nuclear factor NF-kappa-B p100 subunit,NFKB2
Q00688,FKBP3 FKBP25,Peptidyl-prolyl cis-trans isomerase FKBP3,FKBP3
Q00722,PLCB2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",PLCB2
Q00765,REEP5 C5orf18 DP1 TB2,Receptor expression-enhancing protein 5,REEP5
Q00796,SORD,Sorbitol dehydrogenase,SORD
Q00839,HNRNPU C1orf199 HNRPU SAFA U21.1,Heterogeneous nuclear ribonucleoprotein U,HNRNPU
Q00872,MYBPC1 MYBPCS,"Myosin-binding protein C, slow-type",MYBPC1
Q00887,PSG9 PSG11,Pregnancy-specific beta-1-glycoprotein 9,PSG9
Q00888,PSG4 CGM4 PSG9,Pregnancy-specific beta-1-glycoprotein 4,PSG4
Q00889,PSG6 CGM3 PSG10 PSG12 PSGGB,Pregnancy-specific beta-1-glycoprotein 6,PSG6
Q00973,B4GALNT1 GALGT SIAT2,"Beta-1,4 N-acetylgalactosaminyltransferase 1",B4GALNT1
Q00975,CACNA1B CACH5 CACNL1A5,Voltage-dependent N-type calcium channel subunit alpha-1B,CACNA1B
Q00978,IRF9 ISGF3G,Interferon regulatory factor 9,IRF9
Q00987,MDM2,E3 ubiquitin-protein ligase Mdm2,MDM2
Q00994,BEX3 DXS6984E NADE NGFRAP1,Protein BEX3,BEX3
Q00G26,PLIN5 LSDP5 OXPAT PAT-1,Perilipin-5,PLIN5
Q00LT1,PRCD,Photoreceptor disk component PRCD,PRCD
Q01064,PDE1B PDES1B,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",PDE1B
Q01081,U2AF1 U2AF35 U2AFBP FP793,Splicing factor U2AF 35 kDa subunit,U2AF1
Q01082,SPTBN1 SPTB2,"Spectrin beta chain, non-erythrocytic 1",SPTBN1
Q01085,TIAL1,Nucleolysin TIAR,TIAL1
Q01094,E2F1 RBBP3,Transcription factor E2F1,E2F1
Q01101,INSM1 IA1,Insulinoma-associated protein 1,INSM1
Q01105,SET,Protein SET,SET
Q01113,IL9R,Interleukin-9 receptor,IL9R
Q01118,SCN7A SCN6A,Sodium channel protein type 7 subunit alpha,SCN7A
Q01130,SRSF2 SFRS2,Serine/arginine-rich splicing factor 2,SRSF2
Q01151,CD83,CD83 antigen,CD83
Q01167,FOXK2 ILF ILF1,Forkhead box protein K2,FOXK2
Q01196,RUNX1 AML1 CBFA2,Runt-related transcription factor 1,RUNX1
Q01201,RELB,Transcription factor RelB,RELB
Q01344,IL5RA IL5R,Interleukin-5 receptor subunit alpha,IL5RA
Q01362,MS4A2 APY FCER1B IGER,High affinity immunoglobulin epsilon receptor subunit beta,MS4A2
Q01415,GALK2 GK2,N-acetylgalactosamine kinase,GALK2
Q01432,AMPD3,AMP deaminase 3,AMPD3
Q01433,AMPD2,AMP deaminase 2,AMPD2
Q01449,MYL7 MYL2A MYLC2A,"Myosin regulatory light chain 2, atrial isoform",MYL7
Q01453,PMP22 GAS3,Peripheral myelin protein 22,PMP22
Q01469,FABP5,Fatty acid-binding protein 5,FABP5
Q01484,ANK2 ANKB,Ankyrin-2,ANK2
Q01518,CAP1 CAP,Adenylyl cyclase-associated protein 1,CAP1
Q01523,DEFA5 DEF5,Defensin alpha 5,DEFA5
Q01524,DEFA6 DEF6,Defensin-6,DEFA6
Q01534,TSPY1 TSPY,Testis-specific Y-encoded protein 1,TSPY1
Q01538,MYT1 KIAA0835 KIAA1050 MTF1 MYTI PLPB1,Myelin transcription factor 1,MYT1
Q01543,FLI1,Friend leukemia integration 1 transcription factor,FLI1
Q01546,KRT76 KRT2B KRT2P,"Keratin, type II cytoskeletal 2 oral",KRT76
Q01581,HMGCS1 HMGCS,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",HMGCS1
Q01628,IFITM3,Interferon-induced transmembrane protein 3,IFITM3
Q01629,IFITM2,Interferon-induced transmembrane protein 2,IFITM2
Q01638,IL1RL1 DER4 ST2 T1,Interleukin-1 receptor-like 1,IL1RL1
Q01650,SLC7A5 CD98LC LAT1 MPE16,Large neutral amino acids transporter small subunit 1,SLC7A5
Q01658,DR1,Protein Dr1,DR1
Q01664,TFAP4 BHLHC41,Transcription factor AP-4,TFAP4
Q01668,CACNA1D CACH3 CACN4 CACNL1A2 CCHL1A2,Voltage-dependent L-type calcium channel subunit alpha-1D,CACNA1D
Q01718,MC2R ACTHR,Adrenocorticotropic hormone receptor,MC2R
Q01726,MC1R MSHR,Melanocyte-stimulating hormone receptor,MC1R
Q01740,FMO1,Flavin-containing monooxygenase 1,FMO1
Q01780,EXOSC10 PMSCL PMSCL2 RRP6,Exosome complex component 10,EXOSC10
Q01804,OTUD4 HIN-1 KIAA1046,OTU domain-containing protein 4,OTUD4
Q01813,PFKP PFKF,"ATP-dependent 6-phosphofructokinase, platelet type",PFKP
Q01814,ATP2B2 PMCA2,Plasma membrane calcium-transporting ATPase 2,ATP2B2
Q01826,SATB1,DNA-binding protein SATB1,SATB1
Q01831,XPC XPCC,DNA repair protein complementing XP-C cells,XPC
Q01844,EWSR1 EWS,RNA-binding protein EWS,EWSR1
Q01850,CDR2 PCD17,Cerebellar degeneration-related protein 2,CDR2
Q01851,POU4F1 BRN3A RDC1,"POU domain, class 4, transcription factor 1",POU4F1
Q01860,POU5F1 OCT3 OCT4 OTF3,"POU domain, class 5, transcription factor 1",POU5F1
Q01892,SPIB,Transcription factor Spi-B,SPIB
Q01954,BNC1 BNC,Zinc finger protein basonuclin-1,BNC1
Q01955,COL4A3,Collagen alpha-3,COL4A3
Q01959,SLC6A3 DAT1,Sodium-dependent dopamine transporter,SLC6A3
Q01968,OCRL OCRL1,Inositol polyphosphate 5-phosphatase OCRL,OCRL
Q01970,PLCB3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",PLCB3
Q01973,ROR1 NTRKR1,Inactive tyrosine-protein kinase transmembrane receptor ROR1,ROR1
Q01974,ROR2 NTRKR2,Tyrosine-protein kinase transmembrane receptor ROR2,ROR2
Q02040,AKAP17A CXYorf3 DXYS155E SFRS17A XE7,A-kinase anchor protein 17A,AKAP17A
Q02078,MEF2A MEF2,Myocyte-specific enhancer factor 2A,MEF2A
Q02080,MEF2B XMEF2,Myocyte-specific enhancer factor 2B,MEF2B
Q02083,NAAA ASAHL PLT,N-acylethanolamine-hydrolyzing acid amidase,NAAA
Q02086,SP2 KIAA0048,Transcription factor Sp2,SP2
Q02094,RHAG RH50,Ammonium transporter Rh type A,RHAG
Q02108,GUCY1A1 GUC1A3 GUCSA3 GUCY1A3,Guanylate cyclase soluble subunit alpha-1,GUCY1A1
Q02127,DHODH,Dihydroorotate dehydrogenase,DHODH
